uuid,lineId,points
00120761-094e-4cb9-a879-d53844f46367,49,0
001ee1f4-55f3-44f1-81f4-f9f4389c0ccc,95,0
0081c6b1-76ce-46e0-a5aa-7e3bd437ed35,95,0
008d6d3c-35fd-4130-b82e-c8ea463b192b,43,0
008df163-4762-409d-aa19-01f962527724,82,0
009cc81d-7d5d-4a8a-a456-87e8e967beae,87,0
00e3ee75-dfc0-42d8-ad29-5461d2e8f855,45,0
01097e32-fe70-4078-bb40-e9a47750bdc2,12,0
013021f4-694a-4f8e-a16d-15699582081f,59,0
0142ae97-6e7b-4866-ae20-35a2e3bb0557,6,0
01478409-38ee-44e4-a640-dc2bf72b9e6c,58,0
0170c932-1b79-438d-ac67-81ddaff09548,25,0
017f081e-388d-428d-a2b5-4ba76da0cc12,76,0
018e4a81-3fb9-44ad-b4ca-f27d8cd3cdea,88,0
01b4744d-2fb8-478a-ae04-3533d8e977f4,8,0
01b9f510-e346-49e4-b551-8fbd12c5fc8e,92,0
01ba6a02-a30c-4b66-8588-9274681c5322,95,0
01d48293-88b2-4232-a095-7c59813e9c98,95,0
01d8e177-329b-4e51-8c18-303e44def4e0,47,0
01ddb2ba-362e-4b0e-a9d3-8eac701b75db,14,0
01e14358-3e66-44c4-92c8-ec38ecf053aa,1,0
027e465a-5e7b-42e5-8646-689b9a11389d,29,0
029e429a-ea09-45f9-a50c-dbc74c6583af,74,0
02a00e6b-fafa-4d04-90be-1f2f87a793ba,55,0
02a78530-4a5b-4991-b1bc-e7eef303825a,81,0
02d78b76-661a-44e0-b496-496b97b90d07,21,0
0325a5aa-8f53-4d64-bc6c-339cbe33eae0,38,0
033abbfd-aa79-4bea-8e9a-a820e1d6b63a,82,0
035dc73c-05d0-4538-a84e-a6a33cb92b95,93,0
0366f076-e5bc-4503-a460-23e520bbd4eb,25,0
03a90874-2d3f-48fd-857b-d31a40b280e1,45,0
040ea8c5-cd6f-42e1-be6f-1a27cc5726d9,89,0
046e550f-5976-4e20-bd70-958a247c0bce,53,0
04851107-e446-4b75-8a46-d35b89be1e60,44,0
048be61d-2933-4849-a94e-90c48f10c33c,4,0
0511dc42-5d89-45c3-84b6-af07d814a3cf,43,0
051247ab-3bcd-4792-a993-319071d10a90,9,0
05328de0-d705-4208-8ae6-f3d81daa7a9f,71,0
056393f9-8be6-4d93-a96c-8dc6615aa07d,44,0
0581ba48-a112-42dd-864e-6c9f05dda705,19,0
05898e6e-c9ad-48cb-8ca5-96b88b753748,27,0
058ec83b-1305-4812-ab96-48d98c286c46,66,0
05c9a2cb-3b51-4f62-825c-391327d98b01,93,0
060291fe-f5f2-45a6-8b54-082e97692501,29,0
063bf5cc-95be-4d79-9da5-b6f759d16082,8,0
0653ef05-4c8a-4141-af38-377e06bf5bdc,58,0
06d7f86e-4ddf-48ac-b751-ab7257a42465,75,0
06fe4a3b-a8bd-48bb-adf1-6b9731199fda,5,0
0706b968-0088-459f-889a-e2e7046cae90,42,0
0725b9a2-921b-49d6-9b0d-eb2563a43383,17,0
072f04d8-2e56-46d6-8eda-808d4b2ea6cc,36,0
078de999-ace3-4f31-9596-0aaa39a4030e,13,0
07942131-9118-4061-8e8d-f6e6f3c91a1d,93,0
07947c06-ef03-47dc-8d5f-b08d43e4da73,82,0
079bf34f-ba1d-4a8d-b020-d5778dcedd09,14,0
07a1907c-4438-4ad4-a899-3220b83731de,6,0
07b13707-9444-4fd2-a242-27e4b66c4284,71,0
07b20636-e300-4506-a445-dfeccf4aa96a,34,0
07ba7729-264f-4ee4-b6b0-6802c6b3960c,28,0
083d7343-69e4-433d-87c0-edff14ed7dc3,6,0
08629542-ba17-4bb7-bf1b-99b78538dbbc,37,0
08b225ad-ab21-4573-b1a5-629ee09c602d,45,0
08cbc920-c12f-43a7-bcec-34dbb14ed98e,14,0
08eb354d-7152-48f8-aa75-2339d026e604,6,0
08f2bc3b-ec41-4be7-8834-b28e731700b3,62,0
08f46575-7023-4ac8-b491-05c6b447795d,59,0
090e0a28-335c-47b9-ad0d-47c0d26fdfbd,64,0
0910bae2-650a-42f3-b59c-1a39ac9c0aa6,34,0
0913a1a0-9522-40a9-b60e-cd0c07e8a6cf,95,0
094bf002-4d41-45f6-9e10-2d540f104e13,9,0
094cd28b-b048-427a-a02a-97e5041c1e51,34,0
095a9152-6bb2-4919-ac46-459951e364cc,87,0
09c6ae8c-fdd0-4cff-bbaf-381fb0e9ae78,75,0
0a1693b7-62d9-4afd-9fd6-6f6d3a9df2cd,62,0
0a182513-c634-465f-b63e-8245ef27a153,75,0
0a1b9ea7-c440-4438-8909-23aba5f05dde,51,0
0a33e797-6ee5-4e4d-8eb3-ed23c013c591,9,0
0a3762ab-444a-44ab-aa0b-6d6a44187103,6,0
0a7d9c9b-4b2f-4f15-82b5-e5c07ab09ea1,1,0
0ab1d562-c59a-403e-969f-4dd122c212ca,41,0
0ab7589b-c280-4407-8b7e-3941c1377183,34,0
0acc8cbe-dc7b-475e-bbf9-bc47ff631d4b,51,0
0acfee4c-999a-4885-8530-d5b908553bc7,46,0
0ad4c0d8-34a8-4c7c-a57a-5808ea911aa8,93,0
0ad531ab-1f4c-423e-bff4-2edd6a8c4489,62,0
0af051c7-235d-4baa-be15-68150fde142d,54,0
0b3a94f3-d634-4c58-966e-5f30482872e2,95,0
0b486e59-b5e7-4305-9ea6-c41fe424bd83,55,0
0b84311e-7c54-4634-9cfd-4cb78e1ec989,71,0
0ba43fff-08cf-4ee8-a240-9a62d603e920,64,0
0bb7adc2-327b-43f9-bdef-80f5c75da08e,9,0
0c421d34-92dc-46d4-afa2-6b8ca0989243,37,0
0c499e14-50f0-45d6-b5b6-fcfb0cec6caa,18,0
0c524a8c-f047-454c-9f73-498a78cc7471,59,0
0cb200a0-967c-42ec-b101-1fa298477955,45,0
0cca5f6a-b30d-4fd6-bd6b-36218d21a066,92,0
0ce4f4ca-ebb2-4387-9532-e9029d16ee3d,66,0
0d06466d-4d5d-4062-b450-f3d6279990dd,93,0
0d10b386-0b0a-4551-82a9-d8af3895b2ee,53,0
0d2c5495-deaa-447d-835a-fd5ab9dfe44d,87,0
0d52342c-48e2-49ed-b6e6-e85284c57dc1,59,0
0da6e7c7-04ca-4002-9b40-35ae520f72a6,71,0
0df58a3b-8779-49eb-8fd2-c21e984d7d62,81,0
0e31eedc-9e66-4082-a010-b6ef5caf0784,52,0
0e3ac549-cab5-40c9-aa41-31f988963bfb,76,0
0e51c6cd-2428-4bb4-bfe8-34abd5de70c7,12,0
0e6a02cb-e465-4f58-b714-d06d1530cf60,78,0
0e84a14a-3daf-4212-ac67-b485ddfe9d56,38,0
0f20258c-855f-4607-b85c-0693bbdf38e8,95,0
0f4db00c-c732-41e1-972e-e6e044f95283,19,0
0fa652b0-88ab-41f6-9e72-e9d74a4eeb96,55,0
0fa6eac4-e987-44e6-8720-78819072239b,65,0
0fcad534-a062-441e-b454-da2e12ff345d,38,0
0fcde764-2bbf-48db-b446-b81084f1d618,38,0
0fd718af-fdb3-4283-8820-cfdba090768a,7,0
0fdaa664-7f93-4d5c-a034-4fa5de55da86,42,0
0fe1d544-cd2a-4daa-8b42-00843cad58a5,63,0
0ff4d559-4f7d-4ffb-b6a9-f146c27676f6,18,0
100e70de-1700-4267-b60c-d458c5c0877a,28,0
105c7291-c298-4931-b706-16c8297b4b90,59,0
1099da05-5bc1-4172-b48a-da6d79464b4d,38,0
109ae2d0-1dd8-4579-af02-ca3e206340d9,35,0
109bc125-b277-4e9a-ab93-d9d0268b2be1,6,0
10aff675-9f1e-458e-8fa5-d368709b1844,12,0
10c82a80-a09a-43cf-94d3-c374c2b13cec,93,0
10d2c46c-c7c9-4e9e-9596-87793629d460,4,0
11229eb5-7159-4f1c-8164-c103ffe4a98c,93,0
11300d19-fe66-4646-b686-c6a70854e0bb,44,0
11467be6-d415-4bd2-9749-d2bfb0660683,14,0
114a465a-5dfd-4c72-91ee-0811076a1ffa,75,0
11836af1-2360-43a4-b2c9-b3e4f8242c85,66,0
118a6fa8-1018-47bf-b38e-4a0e2988d2df,41,0
11ea8df1-a75f-4005-85ce-b7483e6a2029,1,0
11f85853-1ecd-424e-b5b9-906410bce42b,82,0
12075ea8-0f80-44a8-9376-1a4f9d39c92f,81,0
1219e3a9-66c1-418b-87ff-441807f07cdc,66,0
1264c7d9-a803-466c-825a-cec48a45c873,93,0
127bc5eb-32bf-417d-a42f-461dc0905196,29,0
12b578de-403d-4730-93f9-a10e62b32ba1,56,0
12d78541-9ce2-4029-8b91-67e1fc44cd33,54,0
12d9b4b9-d58c-4d63-ba84-16915cbfa293,92,0
12e3558a-ebc9-4550-9ce6-d9363e7e4e22,71,0
12f8261c-1390-4578-8f46-4f6efee7ec29,88,0
1322a6ee-0b9b-484e-923d-74ede526eacb,88,0
132e5c08-008a-4367-8e6f-c38fec1c2f1c,41,0
1381a727-f260-448e-bfba-8b6c45cc17d6,56,0
1391086d-3de5-46f2-a30d-c207e88ce8d4,46,0
13aee85a-c32a-4f91-adce-7bf1e7a7600f,5,0
13e4c4bc-0eef-46f1-95b4-01a0aeed5175,95,0
13eb1b70-656c-43fc-8f81-956e829d76fb,7,0
144172a3-fa41-404f-9978-b2ee03d7c72a,18,0
1473bbe5-9208-46de-9c8a-02b7a074cb1e,41,0
148058ce-cd57-4b96-8048-1f93902e10c3,71,0
14cea45b-6c1e-463b-9e16-72d9e7223812,8,0
14ec47d9-3f6f-48c7-a5bd-d0f8dcf83352,45,0
153ab14a-eea3-4fad-a913-c7e24276d36d,93,0
159bbd11-f9e7-4d5c-b2b9-732203b52487,29,0
160f0e2e-644f-4f40-9166-2bbe184c297e,56,0
1612f614-a20e-4310-a334-288feb38df9c,61,0
16287f6d-de42-4c73-a82a-9d951349837f,61,0
1649e54c-51f7-4253-acee-4ff20634eb14,74,0
1664575b-ff68-4c83-98cb-3e35c9864664,29,0
1684337a-f978-415a-80b0-228f525c0807,49,0
16982029-968b-4d70-af23-88804f76c8ac,49,0
16b4213a-a715-42ec-8d0d-ffde78b95967,35,0
16c77009-86c2-4e9c-ac81-b6826468496a,14,0
16d6fc10-4f61-4278-a643-f6b047ad08a4,19,0
177a7580-103d-438b-90c1-10c5f8bbde1c,25,0
17d914c8-68f1-4043-bc5d-9c3ca8267929,86,0
17efe4c4-5bf2-40f2-84ca-d44a67547036,19,0
17fba2c4-cdbf-4150-a843-1d51710c6d3d,71,0
17fcabbd-096a-46f7-9ef6-e6ce365ceb21,46,0
183fed67-894a-4a4c-a68e-17879fadb690,14,0
1874818e-2681-478a-a66d-8a1c60291e72,43,0
19138b94-77e8-4c06-b45c-c3cdaf8d1eb1,63,0
193d281b-4fcd-42a2-bd02-820f1ed351f0,5,0
1957a17d-4d0a-42c4-871b-8f91ebdb926d,93,0
1986cf5b-1399-4a2f-a82b-97e4b8fb3a6d,8,0
1a3a3d49-339e-4574-83a8-17297eb52e9c,76,0
1a3f16db-3634-49c0-bf21-569e4e477c60,62,0
1a701492-3eaa-4548-b185-112601db240b,21,0
1a736ccc-a63f-4630-a096-01533c888fe7,46,0
1a974eb4-d303-444a-9bc1-8e376ac9bd62,6,0
1aabfb2f-aeb3-475f-926c-97e727793b17,53,0
1ab9901c-abe4-4686-9e5e-df82897498c9,12,0
1b12a38b-5981-4802-b1c6-ab3dd1d5ad39,5,0
1b71bbdf-7b47-4213-820e-33bb52e66da7,95,0
1bc8a7af-488c-4e89-95df-e11ac25648ac,8,0
1bd555db-0b29-4fcd-b4e2-15e38969dd0c,71,0
1c3defbd-f2c2-49ba-8e75-313a8b3a623b,89,0
1d20a1a7-77d4-41e3-905b-d6b9ec0f01b4,5,0
1d338cea-2b36-4a02-8a43-6342cbd7cc7f,61,0
1d6722e1-0b9d-496d-becc-987ef59ddefd,4,0
1d980165-41d9-4104-b7f3-e7795711e75a,75,0
1da2d276-a1de-4396-8d02-9f2bfeedf4e5,95,0
1e03b6ec-8185-4162-bf6f-bfb9412d621e,9,0
1e089d13-2084-4d20-bb1c-7702af855b81,9,0
1e1423de-8d03-4ff6-a685-6a95234d745e,7,0
1e405537-2ffe-4cab-8350-d9ca9c492f79,39,0
1e637630-9cf9-42bd-8c10-13234fcadebe,2,0
1e6a0309-1e62-42dc-b7c4-85738483bb1c,62,0
1e76ac8e-f3f2-4d41-927f-132a49d68c04,59,0
1e912471-2c07-47c1-adc8-208a9b63c92f,89,0
1eb21d90-78e2-47dc-b05f-4e0c124288ad,9,0
1ed3e63b-d505-4a43-9510-e451e9d51e37,87,0
1ed7fec1-f278-4f95-a5c3-c7b2fdad2331,36,0
1ef21559-3daf-4ddd-92ae-fbc630415422,25,0
1f2b5d14-3e73-4584-8b48-0e1482ca0e01,34,0
1f3b61fa-0f84-4603-b370-c36a3a8f4dca,72,0
1f429349-72f9-4dbe-8a1c-45ca57b88412,58,0
1f666f8d-f0b3-48b3-8de0-69f208e3bebe,89,0
1f6ab53f-ec7b-4516-b08f-d835cc9a12bd,65,0
1f96e096-120d-4f75-8353-c9c463b23e41,71,0
1fa22b95-3197-4d90-8edc-82347ff95a0a,59,0
1fa75d62-8eef-4f43-9983-49c1306f5e81,33,0
1fb9012e-a7d4-40a7-b2cf-207ab33ef958,81,0
1fd566e8-8310-4065-881c-c00c346e1d72,64,0
1fed6917-1bfd-4c38-ab10-b7de2def8e60,65,0
20064502-7f1b-4a29-9c48-6d9bdcfefb66,88,0
20367755-2c5c-42b1-81cb-6a4765c48a1e,9,0
2045236f-4c79-4f75-8271-c173f52a8c68,89,0
2098be08-1044-436c-b6c6-036071a33047,87,0
20abaab8-375e-46bf-8c8a-d46e1f53adbd,63,0
20d17483-c114-418b-9a8b-a28abfbd9f61,12,0
21059074-39bf-400d-907e-5852b806cdd7,18,0
210dc0e6-20fe-4276-ad06-2153d798bc17,8,0
2126b728-db1e-448a-bc3a-b9269a4103d0,83,0
21437577-2182-4507-8068-bcf85a801f83,73,0
216695fa-c40b-43fa-84e5-97df0fa956a6,75,0
219c4c52-e1d2-4b94-91f2-998dd2531b4b,18,0
21a01220-50a7-45bf-acb7-3bbb12a7264d,29,0
21b1fb33-d643-4716-baf9-62fcb5da42c7,9,0
227f1c71-3b6e-4304-a56b-feb8e87d6ec3,45,0
2282b6b6-cc55-4508-b450-21d7342e8a16,7,0
22e69d95-f3b0-4a90-8caf-694b99e842f1,17,0
2353985a-db1c-4ab2-a90d-f5c712b57cfa,12,0
2355bd3a-f964-4b4d-a2e3-d40e75be0389,93,0
236e4615-d838-4f4b-8737-93e55f9939fb,35,0
23710a92-89d1-423c-920e-0bd8e5086bef,95,0
23e45ac8-5e84-407c-b635-4a4ab4eb3fb9,62,0
23e68b01-6174-4e03-9d4e-9279e329d440,95,0
