device_id,track,count,speed_kmh,occupancy_pct,start_time,end_time
ARL_203,t1,,,0.0,-,-
ARL_203,t2,,,0.0,-,-
BAI_TD1,t1,,,0.0,-,-
BAI_TD1,t2,,,0.0,-,-
BAI_TD2,t1,,,0.0,-,-
BAI_TD2,t2,,,0.0,-,-
BEL_TD4,t1,,,0.0,-,-
BEL_TD4,t2,,,0.0,-,-
BEL_TD5,t1,,,0.0,-,-
BEL_TD5,t2,,,0.0,-,-
